0,(165, 165, 1, 1)
0,(179, 179, 1, 1)
0,(180, 180, 1, 1)
0,(174, 174, 1, 1)
0,(178, 178, 1, 1)
0,(180, 180, 1, 1)
0,(176, 176, 1, 1)
0,(183, 183, 1, 1)
0,(180, 180, 1, 1)
0,(177, 177, 1, 1)
0,(176, 176, 1, 1)
0,(174, 174, 1, 1)
0,(170, 170, 1, 1)
0,(171, 171, 1, 1)
0,(174, 174, 1, 1)
0,(179, 179, 1, 1)
0,(179, 179, 1, 1)
0,(177, 177, 1, 1)
0,(170, 170, 1, 1)
0,(175, 175, 1, 1)
0,(173, 173, 1, 1)
0,(172, 172, 1, 1)
0,(169, 169, 1, 1)
0,(173, 173, 1, 1)
0,(170, 170, 1, 1)
0,(169, 169, 1, 1)
0,(174, 174, 1, 1)
0,(173, 173, 1, 1)
0,(174, 174, 1, 1)
0,(178, 178, 1, 1)
0,(178, 178, 1, 1)
0,(175, 175, 1, 1)
0,(169, 169, 1, 1)
0,(178, 178, 1, 1)
0,(173, 173, 1, 1)
0,(180, 180, 1, 1)
0,(179, 179, 1, 1)
0,(177, 177, 1, 1)
0,(177, 177, 1, 1)
0,(182, 182, 1, 1)
0,(176, 176, 1, 1)
0,(178, 178, 1, 1)
0,(184, 184, 1, 1)
0,(174, 174, 1, 1)
0,(174, 174, 1, 1)
0,(174, 174, 1, 1)
0,(173, 173, 1, 1)
0,(175, 175, 1, 1)
0,(174, 174, 1, 1)
0,(179, 179, 1, 1)
0,(180, 180, 1, 1)
